"February 23, 2015",,,
,,,
,Client,Product/Service,Qty
0.50,,,
,Focal Healthcare,Ethiopia,0.25
,Merchants of Green Coffee:Cause Coffees,,
,Focal Healthcare,Asia-Pacifics,-0.25
,Merchants of Green Coffee:Cause Coffees,Stop Medium Blend,-1.00
,Merchants of Green Coffee:Cause Coffees,Stop Dark Blend,-1.00
,Merchants of Green Coffee:Cause Coffees,Evergreen Blend,-1.00
,Focal Healthcare,Cafe Solar medium,-0.25
,Focal Healthcare,Blend X,-0.25
,Focal Healthcare,Joe Bold,-0.25
,Focal Healthcare,Sumatra,-0.25
,Focal Healthcare,Decaf Nation,-0.25
,Focal Healthcare,Ethiopia,0.25
,Focal Healthcare,Decaf Nation,0.25
,Focal Healthcare,Cafe Solar medium,0.25
,Focal Healthcare,Blend X,0.25
,Focal Healthcare,Joe Bold,0.25
,Focal Healthcare,Sumatra,0.25
,Focal Healthcare,Asia-Pacifics,0.25
,Merchants of Green Coffee:Cause Coffees,Stop Medium Blend,1.00
,Merchants of Green Coffee:Cause Coffees,Stop Dark Blend,1.00
,Merchants of Green Coffee:Cause Coffees,Evergreen Blend,1.00
,Merchants of Green Coffee:Cause Coffees,Stop Medium Blend,1.00
,Merchants of Green Coffee:Cause Coffees,Stop Dark Blend,1.00
,Merchants of Green Coffee:Cause Coffees,Evergreen Blend,1.00
,Focal Healthcare,Blend X,0.25
,Focal Healthcare,Joe Bold,0.25
,Focal Healthcare,Asia-Pacifics,0.25
,Focal Healthcare,Cafe Solar medium,0.25
,Focal Healthcare,Sumatra,0.25
,Focal Healthcare,Decaf Nation,0.25
,Focal Healthcare,,
,Focal Healthcare,Ethiopia,-0.25
1,,,
,Tangerine,Miscellaneous,1.00
,Shim-Sutcliffe Architects Inc.,,
,YTZ Management,Delivery Charge,1.00
,Envision Sales Inc.,Delivery Charge,1.00
,ERA Architects Inc.,Delivery Charge,1.00
,Mott Macdonald Canada Ltd.,Delivery Charge,1.00
,Grenville Corp.,Delivery Charge,1.00
,Toronto Hydro (9th floor),Delivery Charge,1.00
,Investeco,Delivery Charge,1.00
,Key Gordon Communications,Delivery Charge,1.00
,Envision Sales Inc.,Choice Origin,2.00
,ERA Architects Inc.,Choice Origin,2.00
,Key Gordon Communications,Choice Origin,2.00
,Grenville Corp.,Choice Origin,1.50
,Shim-Sutcliffe Architects Inc.,Choice Origin,1.00
,Compass 360,Choice Origin,1.00
,YTZ Management,Espresso Supremo,1.00
,Shim-Sutcliffe Architects Inc.,Choice Origin,-1.00
,YTZ Management,Espresso Supremo,-1.00
,Envision Sales Inc.,Choice Origin,-2.00
,ERA Architects Inc.,Choice Origin,-2.00
,Tangerine,Asia-Pacifics,-1.00
,Compass 360,Choice Origin,-1.00
,Grenville Corp.,Choice Origin,-1.50
,Investeco,Asia-Pacifics,-1.00
,Key Gordon Communications,Choice Origin,-2.00
,Shim-Sutcliffe Architects Inc.,Cafe Solar medium,-1.00
,YTZ Management,Cafe Solar medium,-1.00
,Investeco,Bolivia,-1.00
,Investeco,Decaf Nation,-1.00
,Toronto Hydro (9th floor),Average Joe,-2.00
,Tangerine,Africa Arabia,-2.00
,Mott Macdonald Canada Ltd.,Blend X,-2.00
,Shim-Sutcliffe Architects Inc.,Choice Origin,1.00
,YTZ Management,Espresso Supremo,1.00
,Envision Sales Inc.,Choice Origin,2.00
,ERA Architects Inc.,Choice Origin,2.00
,Compass 360,Choice Origin,1.00
,Grenville Corp.,Choice Origin,1.50
,Key Gordon Communications,Choice Origin,2.00
,Toronto Hydro (9th floor),Average Joe,2.00
,Tangerine,Africa Arabia,2.00
,Mott Macdonald Canada Ltd.,Blend X,2.00
,Investeco,Decaf Nation,1.00
,Shim-Sutcliffe Architects Inc.,Cafe Solar medium,1.00
,YTZ Management,Cafe Solar medium,1.00
,Investeco,Bolivia,1.00
,Investeco,Asia-Pacifics,1.00
,Tangerine,Asia-Pacifics,1.00
,Toronto Hydro (9th floor),Average Joe,2.00
,Mott Macdonald Canada Ltd.,Blend X,2.00
,Tangerine,Africa Arabia,2.00
,Shim-Sutcliffe Architects Inc.,Cafe Solar medium,1.00
,Investeco,Decaf Nation,1.00
,YTZ Management,Cafe Solar medium,1.00
,Investeco,Bolivia,1.00
,Investeco,Asia-Pacifics,1.00
,Tangerine,Asia-Pacifics,1.00
,Tangerine,Delivery Charge,1.00
5,,,
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Delivery Charge,1.00
,"Raymond,  James",Delivery Charge,1.00
,The Big Carrot,Delivery Charge,1.00
,Parsons Brinckerhoff Halsall Inc,Delivery Charge,1.00
,Real Food for Real Kids,Delivery Charge,1.00
,The Chefs' House,Delivery Charge,1.00
,Montgomery Sisam Architechs,Delivery Charge,1.00
,Toronto Hydro (8th floor),Delivery Charge,1.00
,Cafe Fiorentina,Delivery Charge,0.00
,Merchants of Green Coffee:Cafe Monday Order,Ethiopia,5.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Choice Origin,1.00
,Cafe Fiorentina,Espresso Supremo,0.00
,CSI Annex,CSI Medium Blend,-20.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Choice Origin,-1.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Joe Mild,-3.00
,"Raymond,  James",Espresso Y,-3.00
,The Chefs' House,Chef's House Blend,-5.00
,CSI Coffee Pub,CSI Espresso,-20.00
,CSI Coffee Pub,Brazil,-3.00
,CSI Regent Park,CSI Medium Blend,-5.00
,CSI Spadina,CSI Medium Blend,-20.00
,Fresh on Bloor,The Fresh Blend,-5.00
,Fresh on Crawford,The Fresh Blend,-5.00
,Fresh on Eglinton,The Fresh Blend,-5.00
,Fresh on Spadina,The Fresh Blend,-5.00
,Gilead Bistro,JK Espresso,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Ethiopia,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Mexico,-5.00
,"Raymond,  James",Decaf Nation,-0.50
,Fresh on Bloor,Decaf Nation,-0.50
,Fresh on Eglinton,Decaf Nation,-0.50
,CSI Coffee Pub,Decaf Nation,-1.00
,The Chefs' House,Decaf Nation,-2.00
,The Big Carrot,Cafe Solar medium,-3.00
,The Big Carrot,Sumatra,-3.00
,The Big Carrot,Xpresso Mild,-3.00
,The Canonball,Africa Arabia,-3.00
,Toronto Hydro (8th floor),Average Joe,-3.00
,CSI Coffee Pub,Rwanda,-3.00
,Merchants of Green Coffee:Cafe Monday Order,Decaf Nation,-3.00
,Real Food for Real Kids,Blend X,-5.00
,The Big Carrot,Joe Bold,-5.00
,The Big Carrot,Guatemala,-5.00
,The Big Carrot,Average Joe,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Cafe Solar medium,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,-5.00
